,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
0,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),VA Hospital,Phoenix,Maricopa,Arizona,62.0,62.0,0,0,,,0,0.0
1,Southern Arizona VA Health Care System,VA Hospital,Tucson,Pima,Arizona,295.0,295.0,2,2,,,0,2.0
2,VA Central California Health Care System,VA Hospital,Fresno,Fresno,California,54.0,54.0,2,2,,,0,2.0
3,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,West Haven,New Haven,Connecticut,216.0,216.0,1,1,,,0,2.0
4,Wilmington VA Medical Center,VA Hospital,Wilmington,New Castle,Delaware,62.0,62.0,0,0,,,0,1.0
5,Washington DC VA Medical Center,VA Hospital,Washington,District of Columbia,District of Columbia,164.0,164.0,1,1,,,0,2.0
6,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,Gainesville,Alachua,Florida,432.0,278.0,2,2,,,154,2.0
7,Boise VA Medical Center,VA Hospital,Boise,Ada,Idaho,46.0,46.0,1,1,,,0,1.0
8,Overton Brooks VA Medical Center,VA Hospital,Shreveport,Caddo,Louisiana,111.0,111.0,1,1,,,0,2.0
9,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,Flowood,Rankin,Mississippi,160.0,160.0,10,10,20.0,0.2963239,0,2.0
10,Harry S Truman Memorial Veterans Hospital,VA Hospital,Columbia,Boone,Missouri,89.0,89.0,2,2,,,0,2.0
11,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,Albuquerque,Bernalillo,New Mexico,163.0,163.0,1,1,,,0,1.0
12,Albany Stratton VA Medical Center,VA Hospital,Albany,Albany,New York,67.0,67.0,2,2,,,0,2.0
13,James J Peters VA Medical Center,VA Hospital,Bronx,Bronx,New York,311.0,311.0,2,2,,,0,2.0
14,Fargo VA Health Care System,VA Hospital,Fargo,Cass,North Dakota,37.0,37.0,1,1,,,0,1.0
15,Roseburg VA Health Care System,VA Hospital,Roseburg,Douglas,Oregon,,,0,0,,,0,0.0
16,VA Pittsburgh Healthcare System - University Drive,VA Hospital,Pittsburgh,Allegheny,Pennsylvania,146.0,146.0,2,2,,,0,2.0
17,Prattville Baptist Hospital,Short Term Acute Care Hospital,Prattville,Autauga,Alabama,85.0,55.0,6,6,0.0,0.6231133,30,2.0
18,Thomas Hospital,Short Term Acute Care Hospital,Fairhope,Baldwin,Alabama,150.0,129.0,17,17,0.0,0.7700542,21,3.0
19,North Baldwin Infirmary,Short Term Acute Care Hospital,Bay Minette,Baldwin,Alabama,58.0,55.0,4,4,0.0,0.2851308,3,2.0
20,Medical Center Barbour,Short Term Acute Care Hospital,Eufaula,Barbour,Alabama,74.0,30.0,5,5,0.0,0.4306397,44,2.0
21,Bibb Medical Center,Short Term Acute Care Hospital,Centreville,Bibb,Alabama,35.0,25.0,4,4,0.0,0.4309041,10,1.0
22,St Vincents Blount,Critical Access Hospital,Oneonta,Blount,Alabama,25.0,25.0,6,6,0.0,0.4990685,0,2.0
23,Bullock County Hospital,Short Term Acute Care Hospital,Union Springs,Bullock,Alabama,61.0,30.0,5,5,0.0,0.2128767,31,1.0
24,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,Greenville,Butler,Alabama,72.0,44.0,7,7,0.0,0.1871108,28,2.0
25,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,Anniston,Calhoun,Alabama,125.0,125.0,6,6,0.0,0.2590904,0,2.0
26,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,Anniston,Calhoun,Alabama,323.0,272.0,18,18,0.0,0.5107977,51,11.0
27,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,Valley,Chambers,Alabama,115.0,84.0,15,15,,0.3987265,31,0.0
28,Cherokee Medical Center,Short Term Acute Care Hospital,Centre,Cherokee,Alabama,60.0,45.0,8,8,0.0,0.2425316,15,1.0
