,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
0,13,4,Maricopa,Arizona,951
1,19,4,Pima,Arizona,294
2,19,6,Fresno,California,190
3,9,9,New Haven,Connecticut,180
4,3,10,New Castle,Delaware,93
5,1,11,District of Columbia,District of Columbia,345
6,1,12,Alachua,Florida,213
7,1,16,Ada,Idaho,91
8,17,22,Caddo,Louisiana,88
9,121,28,Rankin,Mississippi,10
10,19,29,Boone,Missouri,2
11,1,35,Bernalillo,New Mexico,1
12,1,36,Albany,New York,2
13,5,36,Bronx,New York,2
14,17,38,Cass,North Dakota,1
15,19,41,Douglas,Oregon,0
16,3,42,Allegheny,Pennsylvania,2
17,1,1,Autauga,Alabama,6
18,3,1,Baldwin,Alabama,21
19,5,1,Barbour,Alabama,5
20,7,1,Bibb,Alabama,4
21,9,1,Blount,Alabama,6
22,11,1,Bullock,Alabama,5
23,13,1,Butler,Alabama,7
24,15,1,Calhoun,Alabama,24
25,17,1,Chambers,Alabama,15
26,19,1,Cherokee,Alabama,8
27,25,1,Clarke,Alabama,10
28,27,1,Clay,Alabama,4
29,31,1,Coffee,Alabama,7
30,33,1,Colbert,Alabama,22
31,35,1,Conecuh,Alabama,8
32,39,1,Covington,Alabama,13
33,41,1,Crenshaw,Alabama,5
34,43,1,Cullman,Alabama,12
35,45,1,Dale,Alabama,6
36,47,1,Dallas,Alabama,23
37,49,1,DeKalb,Alabama,12
38,51,1,Elmore,Alabama,11
39,53,1,Escambia,Alabama,14
40,55,1,Etowah,Alabama,85
41,57,1,Fayette,Alabama,8
42,59,1,Franklin,Alabama,11
43,61,1,Geneva,Alabama,6
44,63,1,Greene,Alabama,4
45,65,1,Hale,Alabama,5
46,69,1,Houston,Alabama,66
47,71,1,Jackson,Alabama,10
48,73,1,Jefferson,Alabama,366
49,77,1,Lauderdale,Alabama,36
50,79,1,Lawrence,Alabama,6
51,81,1,Lee,Alabama,20
52,83,1,Limestone,Alabama,10
53,89,1,Madison,Alabama,83
54,91,1,Marengo,Alabama,5
55,93,1,Marion,Alabama,8
56,95,1,Marshall,Alabama,20
57,97,1,Mobile,Alabama,241
58,99,1,Monroe,Alabama,8
59,101,1,Montgomery,Alabama,73
60,103,1,Morgan,Alabama,23
61,109,1,Pike,Alabama,9
62,113,1,Russell,Alabama,8
63,115,1,St. Clair,Alabama,6
64,117,1,Shelby,Alabama,32
65,119,1,Sumter,Alabama,6
66,121,1,Talladega,Alabama,14
67,123,1,Tallapoosa,Alabama,14
68,125,1,Tuscaloosa,Alabama,52
69,127,1,Walker,Alabama,12
70,129,1,Washington,Alabama,3
71,131,1,Wilcox,Alabama,4
72,133,1,Winston,Alabama,4
73,20,2,Anchorage,Alaska,90
74,50,2,Bethel,Alaska,6
75,11,23,Kennebec,Maine,24
76,90,2,Fairbanks North Star,Alaska,13
77,110,2,Juneau,Alaska,9
78,122,2,Kenai Peninsula,Alaska,11
79,130,2,Ketchikan Gateway,Alaska,4
80,510,24,Baltimore City,Maryland,543
81,150,2,Kodiak Island,Alaska,4
82,170,2,Matanuska-Susitna,Alaska,14
83,180,2,Nome,Alaska,3
84,220,2,Sitka,Alaska,4
85,275,2,Wrangell,Alaska,1
86,15,25,Hampshire,Massachusetts,11
87,17,25,Middlesex,Massachusetts,207
88,1,4,Apache,Arizona,29
89,3,4,Cochise,Arizona,22
90,5,4,Coconino,Arizona,58
91,9,4,Graham,Arizona,10
92,7,4,Gila,Arizona,8
93,12,4,La Paz,Arizona,3
94,15,4,Mohave,Arizona,80
95,17,4,Navajo,Arizona,24
96,21,4,Pinal,Arizona,22
97,23,4,Santa Cruz,Arizona,4
98,25,4,Yavapai,Arizona,39
99,27,4,Yuma,Arizona,42
100,1,5,Arkansas,Arkansas,13
101,3,5,Ashley,Arkansas,6
102,5,5,Baxter,Arkansas,17
103,7,5,Benton,Arkansas,34
104,9,5,Boone,Arkansas,24
105,11,5,Bradley,Arkansas,4
106,15,5,Carroll,Arkansas,5
107,17,5,Chicot,Arkansas,4
108,19,5,Clark,Arkansas,4
109,21,5,Clay,Arkansas,4
110,23,5,Cleburne,Arkansas,4
111,27,5,Columbia,Arkansas,6
112,7,44,Providence,Rhode Island,2
113,29,5,Conway,Arkansas,4
114,31,5,Craighead,Arkansas,66
115,33,5,Crawford,Arkansas,8
116,37,5,Cross,Arkansas,3
117,39,5,Dallas,Arkansas,4
118,41,5,Desha,Arkansas,8
119,43,5,Drew,Arkansas,5
120,45,5,Faulkner,Arkansas,17
121,47,5,Franklin,Arkansas,4
122,51,5,Garland,Arkansas,41
123,55,5,Greene,Arkansas,8
124,57,5,Hempstead,Arkansas,8
125,59,5,Hot Spring,Arkansas,6
126,19,45,Charleston,South Carolina,0
127,61,5,Howard,Arkansas,6
128,63,5,Independence,Arkansas,12
129,69,5,Jefferson,Arkansas,34
130,71,5,Johnson,Arkansas,8
131,75,5,Lawrence,Arkansas,4
132,83,5,Logan,Arkansas,7
133,93,5,Mississippi,Arkansas,9
134,103,5,Ouachita,Arkansas,8
135,107,5,Phillips,Arkansas,6
136,113,5,Polk,Arkansas,6
137,115,5,Pope,Arkansas,11
138,119,5,Pulaski,Arkansas,203
139,121,5,Randolph,Arkansas,2
140,123,5,St. Francis,Arkansas,6
141,125,5,Saline,Arkansas,16
142,127,5,Scott,Arkansas,4
143,131,5,Sebastian,Arkansas,69
144,137,5,Stone,Arkansas,4
145,139,5,Union,Arkansas,16
146,141,5,Van Buren,Arkansas,4
147,143,5,Washington,Arkansas,65
148,145,5,White,Arkansas,13
149,149,5,Yell,Arkansas,9
150,1,6,Alameda,California,244
151,5,6,Amador,California,6
152,7,6,Butte,California,43
153,9,6,Calaveras,California,5
154,13,6,Contra Costa,California,163
155,15,6,Del Norte,California,6
156,17,6,El Dorado,California,28
157,21,6,Glenn,California,3
158,23,6,Humboldt,California,27
159,3,54,Berkeley,West Virginia,1
160,25,6,Imperial,California,28
161,27,6,Inyo,California,5
162,29,6,Kern,California,159
163,31,6,Kings,California,22
164,33,6,Lake,California,8
165,35,6,Lassen,California,4
166,37,6,Los Angeles,California,2193
167,39,6,Madera,California,10
168,41,6,Marin,California,30
169,43,6,Mariposa,California,3
170,45,6,Mendocino,California,14
171,47,6,Merced,California,24
172,49,6,Modoc,California,1
173,53,6,Monterey,California,47
174,55,6,Napa,California,48
175,57,6,Nevada,California,10
176,59,6,Orange,California,606
177,61,6,Placer,California,40
178,63,6,Plumas,California,8
179,65,6,Riverside,California,320
180,67,6,Sacramento,California,334
181,69,6,San Benito,California,8
182,71,6,San Bernardino,California,374
183,73,6,San Diego,California,536
184,75,6,San Francisco,California,291
185,77,6,San Joaquin,California,110
186,79,6,San Luis Obispo,California,54
187,81,6,San Mateo,California,113
188,83,6,Santa Barbara,California,84
189,85,6,Santa Clara,California,433
190,87,6,Santa Cruz,California,27
191,89,6,Shasta,California,87
192,93,6,Siskiyou,California,8
193,95,6,Solano,California,76
194,97,6,Sonoma,California,82
195,99,6,Stanislaus,California,78
196,101,6,Sutter,California,2
197,103,6,Tehama,California,8
198,105,6,Trinity,California,4
199,107,6,Tulare,California,65
200,109,6,Tuolumne,California,6
201,111,6,Ventura,California,153
202,113,6,Yolo,California,14
203,115,6,Yuba,California,24
204,1,8,Adams,Colorado,224
205,3,8,Alamosa,Colorado,6
206,5,8,Arapahoe,Colorado,127
207,35,8,Douglas,Colorado,46
208,7,8,Archuleta,Colorado,2
209,13,8,Boulder,Colorado,48
210,15,8,Chaffee,Colorado,2
211,17,8,Cheyenne,Colorado,2
212,29,8,Delta,Colorado,6
213,31,8,Denver,Colorado,231
214,59,8,Jefferson,Colorado,94
215,37,8,Eagle,Colorado,5
216,41,8,El Paso,Colorado,91
217,43,8,Fremont,Colorado,4
218,45,8,Garfield,Colorado,8
219,51,8,Gunnison,Colorado,3
220,55,8,Huerfano,Colorado,3
221,63,8,Kit Carson,Colorado,3
222,65,8,Lake,Colorado,1
223,67,8,La Plata,Colorado,13
224,69,8,Larimer,Colorado,47
225,71,8,Las Animas,Colorado,4
226,75,8,Logan,Colorado,4
227,77,8,Mesa,Colorado,31
228,81,8,Moffat,Colorado,4
229,83,8,Montezuma,Colorado,4
230,85,8,Montrose,Colorado,8
231,87,8,Morgan,Colorado,10
232,89,8,Otero,Colorado,5
233,95,8,Phillips,Colorado,3
234,97,8,Pitkin,Colorado,4
235,99,8,Prowers,Colorado,4
236,101,8,Pueblo,Colorado,17
237,103,8,Rio Blanco,Colorado,6
238,105,8,Rio Grande,Colorado,3
239,107,8,Routt,Colorado,4
240,117,8,Summit,Colorado,8
241,119,8,Teller,Colorado,3
242,123,8,Weld,Colorado,26
243,125,8,Yuma,Colorado,6
244,1,9,Fairfield,Connecticut,173
245,3,9,Hartford,Connecticut,310
246,5,9,Litchfield,Connecticut,21
247,7,9,Middlesex,Connecticut,24
248,11,9,New London,Connecticut,22
249,13,9,Tolland,Connecticut,16
250,15,9,Windham,Connecticut,14
251,1,10,Kent,Delaware,29
252,5,10,Sussex,Delaware,43
253,5,12,Bay,Florida,77
254,7,12,Bradford,Florida,4
255,9,12,Brevard,Florida,127
256,11,12,Broward,Florida,502
257,15,12,Charlotte,Florida,51
258,17,12,Citrus,Florida,40
259,19,12,Clay,Florida,28
260,21,12,Collier,Florida,24
261,23,12,Columbia,Florida,27
262,27,12,DeSoto,Florida,8
263,31,12,Duval,Florida,263
264,33,12,Escambia,Florida,97
265,35,12,Flagler,Florida,18
266,39,12,Gadsden,Florida,4
267,49,12,Hardee,Florida,4
268,51,12,Hendry,Florida,3
269,53,12,Hernando,Florida,44
270,55,12,Highlands,Florida,38
271,57,12,Hillsborough,Florida,419
272,59,12,Holmes,Florida,3
273,61,12,Indian River,Florida,40
274,63,12,Jackson,Florida,7
275,119,12,Sumter,Florida,56
276,69,12,Lake,Florida,109
277,71,12,Lee,Florida,141
278,73,12,Leon,Florida,50
279,81,12,Manatee,Florida,98
280,83,12,Marion,Florida,110
281,85,12,Martin,Florida,66
282,86,12,Miami-Dade,Florida,624
283,87,12,Monroe,Florida,14
284,89,12,Nassau,Florida,9
285,91,12,Okaloosa,Florida,51
286,93,12,Okeechobee,Florida,8
287,95,12,Orange,Florida,306
288,97,12,Osceola,Florida,60
289,99,12,Palm Beach,Florida,392
290,101,12,Pasco,Florida,102
291,103,12,Pinellas,Florida,245
292,105,12,Polk,Florida,145
293,107,12,Putnam,Florida,10
294,109,12,St. Johns,Florida,47
295,111,12,St. Lucie,Florida,54
296,113,12,Santa Rosa,Florida,20
297,115,12,Sarasota,Florida,118
298,117,12,Seminole,Florida,28
299,121,12,Suwannee,Florida,4
300,123,12,Taylor,Florida,6
301,127,12,Volusia,Florida,224
302,131,12,Walton,Florida,28
303,133,12,Washington,Florida,4
304,1,13,Appling,Georgia,3
305,5,13,Bacon,Georgia,4
306,9,13,Baldwin,Georgia,12
307,13,13,Barrow,Georgia,6
308,15,13,Bartow,Georgia,21
309,17,13,Ben Hill,Georgia,5
310,19,13,Berrien,Georgia,9
311,21,13,Bibb,Georgia,115
312,23,13,Bleckley,Georgia,3
313,27,13,Brooks,Georgia,4
314,31,13,Bulloch,Georgia,24
315,33,13,Burke,Georgia,7
316,35,13,Butts,Georgia,4
317,39,13,Camden,Georgia,5
318,43,13,Candler,Georgia,6
319,45,13,Carroll,Georgia,28
320,47,13,Catoosa,Georgia,6
321,51,13,Chatham,Georgia,62
322,121,13,Fulton,Georgia,506
323,57,13,Cherokee,Georgia,20
324,59,13,Clarke,Georgia,92
325,63,13,Clayton,Georgia,34
326,65,13,Clinch,Georgia,3
327,67,13,Cobb,Georgia,89
328,69,13,Coffee,Georgia,10
329,71,13,Colquitt,Georgia,16
330,75,13,Cook,Georgia,6
331,77,13,Coweta,Georgia,18
332,81,13,Crisp,Georgia,16
333,87,13,Decatur,Georgia,10
334,89,13,DeKalb,Georgia,157
335,91,13,Dodge,Georgia,6
336,95,13,Dougherty,Georgia,50
337,97,13,Douglas,Georgia,8
338,99,13,Early,Georgia,3
339,103,13,Effingham,Georgia,4
340,105,13,Elbert,Georgia,4
341,107,13,Emanuel,Georgia,8
342,109,13,Evans,Georgia,9
343,111,13,Fannin,Georgia,5
344,113,13,Fayette,Georgia,66
345,115,13,Floyd,Georgia,42
346,117,13,Forsyth,Georgia,24
347,119,13,Franklin,Georgia,8
348,127,13,Glynn,Georgia,12
349,129,13,Gordon,Georgia,8
350,131,13,Grady,Georgia,4
351,135,13,Gwinnett,Georgia,70
352,137,13,Habersham,Georgia,4
353,139,13,Hall,Georgia,85
354,143,13,Haralson,Georgia,3
355,151,13,Henry,Georgia,33
356,153,13,Houston,Georgia,36
357,155,13,Irwin,Georgia,6
358,157,13,Jackson,Georgia,5
359,159,13,Jasper,Georgia,2
360,161,13,Jeff Davis,Georgia,4
361,163,13,Jefferson,Georgia,6
362,173,13,Lanier,Georgia,4
363,175,13,Laurens,Georgia,16
364,179,13,Liberty,Georgia,4
