,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
0,13,4,Maricopa,Arizona,0.5338557838709678,0.5338557838709678
1,19,4,Pima,Arizona,0.5114194375,0.5114194375
2,19,6,Fresno,California,0.5551668285714285,0.5551668285714285
3,9,9,New Haven,Connecticut,0.5378561125,0.5378561125
4,3,10,New Castle,Delaware,0.51746995,0.51746995
5,1,11,District of Columbia,District of Columbia,0.7260657857142857,0.7260657857142857
6,1,12,Alachua,Florida,0.8237211,0.8237211
7,1,16,Ada,Idaho,0.5024807,0.5024807
8,17,22,Caddo,Louisiana,0.5811267666666666,0.5811267666666666
9,121,28,Rankin,Mississippi,0.29632390000000003,0.2963239
10,19,29,Boone,Missouri,,
11,1,35,Bernalillo,New Mexico,,
12,1,36,Albany,New York,,
13,5,36,Bronx,New York,,
14,17,38,Cass,North Dakota,,
15,19,41,Douglas,Oregon,,
16,3,42,Allegheny,Pennsylvania,,
17,1,1,Autauga,Alabama,0.6231133000000001,0.6231133
18,3,1,Baldwin,Alabama,0.5275925,0.5275925
19,5,1,Barbour,Alabama,0.4306397,0.4306397
20,7,1,Bibb,Alabama,0.4309041,0.4309041
21,9,1,Blount,Alabama,0.4990685,0.4990685
22,11,1,Bullock,Alabama,0.21287670000000003,0.2128767
23,13,1,Butler,Alabama,0.1871108,0.1871108
24,15,1,Calhoun,Alabama,0.38494405,0.38494405
25,17,1,Chambers,Alabama,0.3987265,0.3987265
26,19,1,Cherokee,Alabama,0.2425316,0.2425316
27,25,1,Clarke,Alabama,0.2897847,0.2897847
28,27,1,Clay,Alabama,0.2806433,0.2806433
29,31,1,Coffee,Alabama,0.2380518,0.2380518
30,33,1,Colbert,Alabama,0.25578515,0.25578515
31,35,1,Conecuh,Alabama,0.2938356,0.2938356
32,39,1,Covington,Alabama,0.3200099,0.3200099
33,41,1,Crenshaw,Alabama,0.12602739999999998,0.1260274
34,43,1,Cullman,Alabama,0.5081719,0.5081719
35,45,1,Dale,Alabama,0.2649351,0.2649351
36,47,1,Dallas,Alabama,0.4045997,0.4045997
37,49,1,DeKalb,Alabama,0.2922186,0.2922186
38,51,1,Elmore,Alabama,0.29597009999999996,0.2959701
39,53,1,Escambia,Alabama,0.34572695,0.34572695
40,55,1,Etowah,Alabama,0.49891579999999996,0.4989158
41,57,1,Fayette,Alabama,0.23372910000000002,0.2337291
42,59,1,Franklin,Alabama,0.33211515,0.33211515
43,61,1,Geneva,Alabama,0.1314318,0.1314318
44,63,1,Greene,Alabama,0.24164380000000002,0.2416438
45,65,1,Hale,Alabama,0.2608611,0.2608611
46,69,1,Houston,Alabama,0.70284005,0.70284005
47,71,1,Jackson,Alabama,0.628269,0.628269
48,73,1,Jefferson,Alabama,0.5824452275,0.5824452275
49,77,1,Lauderdale,Alabama,0.5574446,0.5574446
50,79,1,Lawrence,Alabama,0.1513221,0.1513221
51,81,1,Lee,Alabama,0.6881019,0.6881019
52,83,1,Limestone,Alabama,0.5184309,0.5184309
53,89,1,Madison,Alabama,0.6457744000000001,0.6457744
54,91,1,Marengo,Alabama,0.36645690000000003,0.3664569
55,93,1,Marion,Alabama,0.1968941,0.19689410000000002
56,95,1,Marshall,Alabama,0.4351195,0.4351195
57,97,1,Mobile,Alabama,0.6945453400000001,0.6945453400000001
58,99,1,Monroe,Alabama,0.1164663,0.1164663
59,101,1,Montgomery,Alabama,0.6812181333333333,0.6812181333333333
60,103,1,Morgan,Alabama,0.49895100000000003,0.498951
61,109,1,Pike,Alabama,0.1839571,0.1839571
62,113,1,Russell,Alabama,0.3893326,0.3893326
63,115,1,St. Clair,Alabama,0.5863699,0.5863699
64,117,1,Shelby,Alabama,0.5424141,0.5424141
65,119,1,Sumter,Alabama,0.45330010000000004,0.4533001
66,121,1,Talladega,Alabama,0.23312615,0.23312614999999998
67,123,1,Tallapoosa,Alabama,0.27772891,0.27772891
68,125,1,Tuscaloosa,Alabama,0.7311095000000001,0.7311095
69,127,1,Walker,Alabama,0.2874859,0.2874859
70,129,1,Washington,Alabama,0.4317808,0.4317808
71,131,1,Wilcox,Alabama,0.06575342,0.06575342
72,133,1,Winston,Alabama,0.28303049999999996,0.2830305
73,20,2,Anchorage,Alaska,0.6377709666666667,0.6377709666666667
74,50,2,Bethel,Alaska,0.39991940000000004,0.3999194
75,11,23,Kennebec,Maine,0.5923958,0.5923958
76,90,2,Fairbanks North Star,Alaska,0.39546370000000003,0.3954637
77,110,2,Juneau,Alaska,0.3659665,0.3659665
78,122,2,Kenai Peninsula,Alaska,0.4060261666666666,0.40602616666666663
79,130,2,Ketchikan Gateway,Alaska,0.3824657,0.3824657
80,510,24,Baltimore City,Maryland,0.6950369916666665,0.6950369916666665
81,150,2,Kodiak Island,Alaska,0.2001142,0.2001142
82,170,2,Matanuska-Susitna,Alaska,0.6692706,0.6692706
83,180,2,Nome,Alaska,0.4016743,0.4016743
84,220,2,Sitka,Alaska,0.3386098,0.3386098
85,275,2,Wrangell,Alaska,0.2875683,0.2875683
86,15,25,Hampshire,Massachusetts,0.5408405,0.5408405
87,17,25,Middlesex,Massachusetts,0.5533750636363637,0.5533750636363637
88,1,4,Apache,Arizona,0.256615225,0.256615225
89,3,4,Cochise,Arizona,0.26197759499999995,0.26197759499999995
90,5,4,Coconino,Arizona,0.357426,0.35742599999999997
91,9,4,Graham,Arizona,0.30442759999999996,0.3044276
92,7,4,Gila,Arizona,0.47632335,0.47632335000000003
93,12,4,La Paz,Arizona,0.3566027,0.3566027
94,15,4,Mohave,Arizona,0.396385,0.396385
95,17,4,Navajo,Arizona,0.31248405,0.31248405
96,21,4,Pinal,Arizona,0.41478679999999996,0.4147868
97,23,4,Santa Cruz,Arizona,0.27583559999999996,0.2758356
98,25,4,Yavapai,Arizona,0.5209351,0.5209351
99,27,4,Yuma,Arizona,0.4097375,0.4097375
100,1,5,Arkansas,Arkansas,0.13983225,0.13983225
101,3,5,Ashley,Arkansas,0.40383559999999996,0.4038356
102,5,5,Baxter,Arkansas,0.514519,0.514519
103,7,5,Benton,Arkansas,0.5318978666666667,0.5318978666666667
104,9,5,Boone,Arkansas,0.1958676,0.1958676
105,11,5,Bradley,Arkansas,0.2269589,0.2269589
106,15,5,Carroll,Arkansas,0.1509041,0.1509041
107,17,5,Chicot,Arkansas,0.3662466,0.3662466
108,19,5,Clark,Arkansas,0.43671229999999994,0.4367123
109,21,5,Clay,Arkansas,0.49654790000000004,0.4965479
110,23,5,Cleburne,Arkansas,0.3597808,0.3597808
111,27,5,Columbia,Arkansas,0.2627397,0.2627397
112,7,44,Providence,Rhode Island,,
113,29,5,Conway,Arkansas,0.3151781,0.3151781
114,31,5,Craighead,Arkansas,0.6938079500000001,0.6938079500000001
115,33,5,Crawford,Arkansas,0.28195490000000006,0.2819549
116,37,5,Cross,Arkansas,0.5652968,0.5652968
117,39,5,Dallas,Arkansas,0.08941469,0.08941469
118,41,5,Desha,Arkansas,0.2570411,0.2570411
119,43,5,Drew,Arkansas,0.4040257,0.4040257
120,45,5,Faulkner,Arkansas,0.5522026,0.5522026
121,47,5,Franklin,Arkansas,0.1079452,0.1079452
122,51,5,Garland,Arkansas,0.4196179420000001,0.4196179420000001
123,55,5,Greene,Arkansas,0.2851478,0.2851478
124,57,5,Hempstead,Arkansas,0.09249642,0.09249642
125,59,5,Hot Spring,Arkansas,0.39559079999999996,0.3955908
126,19,45,Charleston,South Carolina,,
127,61,5,Howard,Arkansas,0.2920548,0.2920548
128,63,5,Independence,Arkansas,0.43694160000000004,0.4369416
129,69,5,Jefferson,Arkansas,0.4320477,0.4320477
130,71,5,Johnson,Arkansas,0.21523670000000003,0.2152367
131,75,5,Lawrence,Arkansas,0.30276240000000004,0.3027624
132,83,5,Logan,Arkansas,0.17571345,0.17571345
133,93,5,Mississippi,Arkansas,0.2339593,0.23395929999999998
134,103,5,Ouachita,Arkansas,0.148575,0.148575
135,107,5,Phillips,Arkansas,0.09517851,0.09517851
136,113,5,Polk,Arkansas,0.28406279999999995,0.2840628
137,115,5,Pope,Arkansas,0.4077792,0.4077792
138,119,5,Pulaski,Arkansas,0.59544555,0.59544555
139,121,5,Randolph,Arkansas,0.17696889999999998,0.1769689
140,123,5,St. Francis,Arkansas,0.2827789,0.2827789
141,125,5,Saline,Arkansas,0.3826343,0.3826343
142,127,5,Scott,Arkansas,0.13470320000000002,0.1347032
143,131,5,Sebastian,Arkansas,0.5925603500000001,0.5925603500000001
144,137,5,Stone,Arkansas,0.2076712,0.2076712
145,139,5,Union,Arkansas,0.3255254,0.3255254
146,141,5,Van Buren,Arkansas,0.5206575,0.5206575
147,143,5,Washington,Arkansas,0.4592658333333333,0.4592658333333333
148,145,5,White,Arkansas,0.5826611,0.5826611
149,149,5,Yell,Arkansas,0.33811290000000005,0.3381129
150,1,6,Alameda,California,0.5712089333333332,0.5712089333333332
151,5,6,Amador,California,0.4705479,0.4705479
152,7,6,Butte,California,0.8233217500000001,0.8233217500000001
153,9,6,Calaveras,California,0.3442192,0.3442192
154,13,6,Contra Costa,California,0.539469557142857,0.539469557142857
155,15,6,Del Norte,California,0.518019,0.518019
156,17,6,El Dorado,California,0.4032612,0.4032612
157,21,6,Glenn,California,1.0,1.0
158,23,6,Humboldt,California,0.484596175,0.48459617499999996
159,3,54,Berkeley,West Virginia,,
