,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
0,13,4,Maricopa,Arizona,7861.0
1,19,4,Pima,Arizona,2553.0
2,19,6,Fresno,California,1612.0
3,9,9,New Haven,Connecticut,1552.0
4,3,10,New Castle,Delaware,1148.0
5,1,11,District of Columbia,District of Columbia,2456.0
6,1,12,Alachua,Florida,1401.0
7,1,16,Ada,Idaho,962.0
8,17,22,Caddo,Louisiana,1257.0
9,121,28,Rankin,Mississippi,160.0
10,19,29,Boone,Missouri,89.0
11,1,35,Bernalillo,New Mexico,163.0
12,1,36,Albany,New York,67.0
13,5,36,Bronx,New York,311.0
14,17,38,Cass,North Dakota,37.0
15,19,41,Douglas,Oregon,0.0
16,3,42,Allegheny,Pennsylvania,146.0
17,1,1,Autauga,Alabama,55.0
18,3,1,Baldwin,Alabama,184.0
19,5,1,Barbour,Alabama,30.0
20,7,1,Bibb,Alabama,25.0
21,9,1,Blount,Alabama,25.0
22,11,1,Bullock,Alabama,30.0
23,13,1,Butler,Alabama,44.0
24,15,1,Calhoun,Alabama,397.0
25,17,1,Chambers,Alabama,84.0
26,19,1,Cherokee,Alabama,45.0
27,25,1,Clarke,Alabama,56.0
28,27,1,Clay,Alabama,46.0
29,31,1,Coffee,Alabama,99.0
30,33,1,Colbert,Alabama,300.0
31,35,1,Conecuh,Alabama,44.0
32,39,1,Covington,Alabama,128.0
33,41,1,Crenshaw,Alabama,29.0
34,43,1,Cullman,Alabama,145.0
35,45,1,Dale,Alabama,77.0
36,47,1,Dallas,Alabama,109.0
37,49,1,DeKalb,Alabama,97.0
38,51,1,Elmore,Alabama,70.0
39,53,1,Escambia,Alabama,95.0
40,55,1,Etowah,Alabama,478.0
41,57,1,Fayette,Alabama,45.0
42,59,1,Franklin,Alabama,74.0
43,61,1,Geneva,Alabama,73.0
44,63,1,Greene,Alabama,20.0
45,65,1,Hale,Alabama,28.0
46,69,1,Houston,Alabama,577.0
47,71,1,Jackson,Alabama,92.0
48,73,1,Jefferson,Alabama,3214.0
49,77,1,Lauderdale,Alabama,233.0
50,79,1,Lawrence,Alabama,43.0
51,81,1,Lee,Alabama,299.0
52,83,1,Limestone,Alabama,66.0
53,89,1,Madison,Alabama,1060.0
54,91,1,Marengo,Alabama,37.0
55,93,1,Marion,Alabama,97.0
56,95,1,Marshall,Alabama,150.0
57,97,1,Mobile,Alabama,1442.0
58,99,1,Monroe,Alabama,49.0
59,101,1,Montgomery,Alabama,883.0
60,103,1,Morgan,Alabama,222.0
61,109,1,Pike,Alabama,97.0
62,113,1,Russell,Alabama,47.0
63,115,1,St. Clair,Alabama,40.0
64,117,1,Shelby,Alabama,212.0
65,119,1,Sumter,Alabama,33.0
66,121,1,Talladega,Alabama,207.0
67,123,1,Tallapoosa,Alabama,80.0
68,125,1,Tuscaloosa,Alabama,620.0
69,127,1,Walker,Alabama,207.0
70,129,1,Washington,Alabama,15.0
71,131,1,Wilcox,Alabama,21.0
72,133,1,Winston,Alabama,49.0
73,20,2,Anchorage,Alaska,729.0
