,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
0,13,4,Maricopa,Arizona,8.03125,8.03125
1,19,4,Pima,Arizona,5.888888888888888,5.888888888888889
2,19,6,Fresno,California,6.25,6.25
3,9,9,New Haven,Connecticut,5.4444444444444455,5.444444444444445
4,3,10,New Castle,Delaware,21.0,21.0
5,1,11,District of Columbia,District of Columbia,11.625,11.625
6,1,12,Alachua,Florida,16.0,16.0
7,1,16,Ada,Idaho,5.0,5.0
8,17,22,Caddo,Louisiana,11.5,11.5
9,121,28,Rankin,Mississippi,2.0,2.0
10,19,29,Boone,Missouri,2.0,2.0
11,1,35,Bernalillo,New Mexico,1.0,1.0
12,1,36,Albany,New York,2.0,2.0
13,5,36,Bronx,New York,2.0,2.0
14,17,38,Cass,North Dakota,1.0,1.0
15,19,41,Douglas,Oregon,0.0,0.0
16,3,42,Allegheny,Pennsylvania,2.0,2.0
17,1,1,Autauga,Alabama,2.0,2.0
18,3,1,Baldwin,Alabama,2.5,2.5
19,5,1,Barbour,Alabama,2.0,2.0
20,7,1,Bibb,Alabama,1.0,1.0
21,9,1,Blount,Alabama,2.0,2.0
22,11,1,Bullock,Alabama,1.0,1.0
23,13,1,Butler,Alabama,2.0,2.0
24,15,1,Calhoun,Alabama,6.5,6.5
25,17,1,Chambers,Alabama,0.0,0.0
26,19,1,Cherokee,Alabama,1.0,1.0
27,25,1,Clarke,Alabama,1.0,1.0
28,27,1,Clay,Alabama,2.0,2.0
29,31,1,Coffee,Alabama,2.0,2.0
30,33,1,Colbert,Alabama,3.0,3.0
31,35,1,Conecuh,Alabama,0.0,0.0
32,39,1,Covington,Alabama,2.0,2.0
33,41,1,Crenshaw,Alabama,2.0,2.0
34,43,1,Cullman,Alabama,5.0,5.0
35,45,1,Dale,Alabama,2.0,2.0
36,47,1,Dallas,Alabama,2.0,2.0
37,49,1,DeKalb,Alabama,3.0,3.0
38,51,1,Elmore,Alabama,1.5,1.5
39,53,1,Escambia,Alabama,2.0,2.0
40,55,1,Etowah,Alabama,7.0,7.0
41,57,1,Fayette,Alabama,2.0,2.0
42,59,1,Franklin,Alabama,1.5,1.5
43,61,1,Geneva,Alabama,2.0,2.0
44,63,1,Greene,Alabama,0.0,0.0
45,65,1,Hale,Alabama,0.0,0.0
46,69,1,Houston,Alabama,8.0,8.0
47,71,1,Jackson,Alabama,2.0,2.0
48,73,1,Jefferson,Alabama,9.111111111111109,9.11111111111111
49,77,1,Lauderdale,Alabama,6.0,6.0
50,79,1,Lawrence,Alabama,2.0,2.0
51,81,1,Lee,Alabama,10.0,10.0
52,83,1,Limestone,Alabama,3.0,3.0
53,89,1,Madison,Alabama,12.0,12.0
54,91,1,Marengo,Alabama,2.0,2.0
55,93,1,Marion,Alabama,1.5,1.5
56,95,1,Marshall,Alabama,7.0,7.0
57,97,1,Mobile,Alabama,5.8,5.8
58,99,1,Monroe,Alabama,2.0,2.0
59,101,1,Montgomery,Alabama,4.0,4.0
60,103,1,Morgan,Alabama,3.0,3.0
61,109,1,Pike,Alabama,2.0,2.0
62,113,1,Russell,Alabama,2.0,2.0
63,115,1,St. Clair,Alabama,2.0,2.0
64,117,1,Shelby,Alabama,6.0,6.0
65,119,1,Sumter,Alabama,0.0,0.0
66,121,1,Talladega,Alabama,2.0,2.0
67,123,1,Tallapoosa,Alabama,1.0,1.0
68,125,1,Tuscaloosa,Alabama,15.5,15.5
69,127,1,Walker,Alabama,4.0,4.0
70,129,1,Washington,Alabama,1.0,1.0
71,131,1,Wilcox,Alabama,0.0,0.0
72,133,1,Winston,Alabama,2.0,2.0
73,20,2,Anchorage,Alaska,6.333333333333332,6.333333333333333
74,50,2,Bethel,Alaska,1.0,1.0
75,11,23,Kennebec,Maine,2.333333333333333,2.3333333333333335
76,90,2,Fairbanks North Star,Alaska,2.0,2.0
77,110,2,Juneau,Alaska,2.0,2.0
78,122,2,Kenai Peninsula,Alaska,1.0,1.0
79,130,2,Ketchikan Gateway,Alaska,2.0,2.0
80,510,24,Baltimore City,Maryland,12.846153846153848,12.846153846153847
81,150,2,Kodiak Island,Alaska,2.0,2.0
82,170,2,Matanuska-Susitna,Alaska,3.0,3.0
83,180,2,Nome,Alaska,1.0,1.0
84,220,2,Sitka,Alaska,1.0,1.0
85,275,2,Wrangell,Alaska,0.0,0.0
86,15,25,Hampshire,Massachusetts,1.5,1.5
87,17,25,Middlesex,Massachusetts,5.0,5.0
88,1,4,Apache,Arizona,1.25,1.25
89,3,4,Cochise,Arizona,1.5,1.5
90,5,4,Coconino,Arizona,3.333333333333333,3.3333333333333335
91,9,4,Graham,Arizona,1.0,1.0
92,7,4,Gila,Arizona,2.0,2.0
93,12,4,La Paz,Arizona,2.0,2.0
94,15,4,Mohave,Arizona,5.0,5.0
95,17,4,Navajo,Arizona,1.25,1.25
