,STATE_FIPS,STATE_NAME,05/24/2020,05/25/2020
0,4,Arizona,5.450704225352113,5.450704225352113
1,6,California,5.65,5.65
2,9,Connecticut,5.78125,5.78125
3,10,Delaware,14.166666666666664,14.166666666666666
4,11,District of Columbia,11.625,11.625
5,12,Florida,7.701754385964912,7.701754385964913
6,16,Idaho,3.421052631578948,3.4210526315789473
7,22,Louisiana,3.673469387755102,3.673469387755102
8,28,Mississippi,2.0,2.0
9,29,Missouri,2.0,2.0
10,35,New Mexico,1.0,1.0
11,36,New York,2.0,2.0
12,38,North Dakota,1.0,1.0
13,41,Oregon,0.0,0.0
14,42,Pennsylvania,2.0,2.0
15,1,Alabama,4.069767441860465,4.069767441860465
16,2,Alaska,2.4,2.4
17,23,Maine,3.3529411764705883,3.3529411764705883
18,24,Maryland,10.348837209302326,10.348837209302326
19,25,Massachusetts,7.349206349206349,7.349206349206349
20,5,Arkansas,3.2857142857142856,3.2857142857142856
21,44,Rhode Island,2.0,2.0
22,45,South Carolina,0.0,0.0
23,54,West Virginia,2.0,2.0
24,8,Colorado,3.4029850746268657,3.4029850746268657
25,13,Georgia,5.269841269841269,5.26984126984127
26,15,Hawaii,3.333333333333333,3.3333333333333335
27,17,Illinois,5.093567251461988,5.093567251461988
28,18,Indiana,5.307017543859649,5.307017543859649
29,19,Iowa,2.25,2.25
30,20,Kansas,1.788990825688073,1.7889908256880733
31,21,Kentucky,4.775280898876406,4.775280898876405
32,26,Michigan,5.951219512195122,5.951219512195122
33,27,Minnesota,2.107142857142857,2.107142857142857
